,country,country_code,year,HIV_total,HIV_new,ART_coverage_pct,chlamydia_cases,syphilis_cases,prep_users_cumulative
306,Australia,AUS,2016,25000.0,880.0,81.0,94725.0,3380.0,318.0
307,Australia,AUS,2017,26000.0,840.0,83.0,101216.0,4402.0,13496.0
308,Australia,AUS,2018,27000.0,790.0,83.0,104763.0,5059.0,17429.0
309,Australia,AUS,2019,28000.0,730.0,84.0,107238.0,5900.0,26520.0
310,Australia,AUS,2020,29000.0,660.0,85.0,91327.0,5355.0,37707.0
311,Australia,AUS,2021,29000.0,580.0,85.0,87258.0,5754.0,44798.0
312,Australia,AUS,2022,30000.0,500.0,86.0,93777.0,6036.0,56994.0
446,Belgium,BEL,2016,16000.0,500.0,88.0,7353.0,1531.0,128.0
447,Belgium,BEL,2017,16000.0,500.0,89.0,8093.0,1493.0,200.0
448,Belgium,BEL,2018,17000.0,500.0,90.0,9294.0,1901.0,1300.0
449,Belgium,BEL,2019,17000.0,500.0,88.0,8288.0,1670.0,1300.0
450,Belgium,BEL,2020,17000.0,500.0,87.0,5692.0,1407.0,1300.0
451,Belgium,BEL,2021,18000.0,500.0,88.0,9381.0,2113.0,2318.0
452,Belgium,BEL,2022,18000.0,500.0,88.0,9081.0,2191.0,2318.0
453,Belgium,BEL,2023,19000.0,500.0,88.0,10179.0,2545.0,5277.0
1059,Canada,CAN,2016,56000.0,1900.0,73.0,121221.0,5448.0,200.0
1060,Canada,CAN,2017,58000.0,1900.0,74.0,126319.0,6016.0,200.0
1061,Canada,CAN,2018,60000.0,2000.0,75.0,133435.0,8722.0,5000.0
1062,Canada,CAN,2019,61000.0,1900.0,77.0,139577.0,11785.0,5000.0
1063,Canada,CAN,2020,63000.0,1600.0,79.0,106055.0,11586.0,9657.0
1064,Canada,CAN,2021,64000.0,1700.0,78.0,104453.0,14873.0,9657.0
1065,Canada,CAN,2022,65000.0,1900.0,76.0,116474.0,18979.0,9657.0
1745,Denmark,DNK,2019,6200.0,100.0,86.0,35680.0,361.0,14.0
1746,Denmark,DNK,2020,6200.0,100.0,88.0,34681.0,445.0,14.0
1747,Denmark,DNK,2021,6200.0,100.0,90.0,36632.0,638.0,1350.0
1748,Denmark,DNK,2022,6200.0,100.0,91.0,41634.0,677.0,2350.0
1749,Denmark,DNK,2023,6200.0,100.0,92.0,37111.0,672.0,2350.0
1954,Spain,ESP,2018,150000.0,3300.0,85.0,12847.0,4826.0,1285.0
1955,Spain,ESP,2019,150000.0,3300.0,85.0,15612.0,4880.0,1700.0
1956,Spain,ESP,2020,150000.0,3300.0,87.0,15254.0,4531.0,2153.0
1957,Spain,ESP,2021,150000.0,3300.0,88.0,20597.0,5277.0,2887.0
1958,Spain,ESP,2022,160000.0,3300.0,90.0,28824.0,8365.0,2887.0
2127,France,FRA,2016,150000.0,4100.0,90.0,13624.0,1863.0,1243.0
2128,France,FRA,2017,160000.0,4000.0,90.0,17672.0,1748.0,1243.0
2132,France,FRA,2021,170000.0,3300.0,90.0,12665.0,1285.0,42159.0
2133,France,FRA,2022,180000.0,3400.0,91.0,14199.0,1761.0,46706.0
